iter	MAPE	RMSE	R2	MAE
150	0.2556005535	317676.8198	0.951326552	193574.0408
151	0.2555622804	317454.8164	0.9513945575	193549.8117
152	0.2554869005	316630.5067	0.9516466496	193164.2191
153	0.2546182071	315337.4451	0.9520407758	192495.7533
154	0.254433094	314759.7149	0.9522163472	192092.8331
155	0.2541249704	313718.4588	0.9525319703	191403.8605
156	0.2540914871	313508.0464	0.952595623	191381.2458
157	0.2515897502	312674.1475	0.9528474691	190552.5307
158	0.2496186224	311962.222	0.9530619471	189861.8714
159	0.2496151683	311209.7482	0.9532881095	189538.8893
160	0.2496025706	311004.1112	0.9533498204	189525.9335
161	0.2493423309	310017.4278	0.9536453531	189130.5474
162	0.2484628982	309320.2	0.9538536214	188816.4722
163	0.2475801681	308471.8325	0.9541064042	188099.9621
164	0.2475485806	308262.1349	0.9541687794	188074.5288
165	0.2473656305	307991.7144	0.9542491543	188032.7774
166	0.247217031	306963.0091	0.9545542634	187720.7464
167	0.2467185993	305696.8446	0.9549284004	186972.0847
168	0.2465321733	304914.3004	0.9551588599	186734.7676
169	0.2463514289	304243.2845	0.9553560039	186309.4961
170	0.2463395087	303554.8526	0.9555578133	186025.9995
171	0.2448915976	302551.9622	0.9558509861	185369.5073
172	0.244198781	301961.2454	0.9560232151	184786.1711
173	0.2441780605	301824.1213	0.9560631467	184769.7945
174	0.2441683887	301647.1116	0.9561146666	184756.8281
175	0.242315758	301206.0581	0.9562429067	184514.6663
176	0.2421259783	300751.962	0.956374743	184215.1258
177	0.2420924721	300186.0928	0.9565387517	183893.3456
178	0.2417784634	299443.3537	0.9567535547	183410.4717
179	0.2417741285	298871.343	0.9569186196	183159.3474
180	0.2414993859	298187.3091	0.9571155967	182903.865
181	0.2414386694	298018.5253	0.9571641309	182891.3309
182	0.241414218	297854.7981	0.9572111848	182868.6867
183	0.2389021059	297295.0353	0.957371861	182310.8717
184	0.2388526207	296649.7079	0.9575567228	182208.6521
185	0.2386705762	295702.8513	0.9578272342	181611.5856
186	0.238690123	295370.2157	0.957922061	181526.3309
187	0.2385513017	294427.1992	0.9581903131	180838.5893
188	0.2383111547	293547.1101	0.958439891	180366.5955
189	0.2360636813	293046.1827	0.9585816115	179743.6056
190	0.2359933558	292900.6443	0.9586227414	179729.3197
191	0.2359705243	292751.1298	0.9586649736	179707.8363
192	0.234574991	292114.9013	0.9588444431	179093.6544
193	0.234367317	291650.1931	0.9589752828	178887.0222
194	0.2341146133	291099.8566	0.9591299619	178532.4411
195	0.2330976948	290659.8337	0.9592534258	178121.3913
196	0.2330583317	289861.481	0.9594769548	177895.1195
197	0.2328915388	289355.3868	0.9596183367	177789.5032
198	0.2328493189	288852.7294	0.9597585139	177602.1601
199	0.2320371862	287985.3489	0.959999829	176792.8773
200	0.2320159407	287845.9429	0.9600385457	176772.4235
201	0.2319392171	287285.9395	0.9601938842	176370.2959
202	0.2310696756	286771.402	0.9603363443	175811.8702
203	0.2304745559	286228.1388	0.9604864806	175439.346
204	0.2298870547	285825.9778	0.9605974385	175213.6352
205	0.2285138632	285437.2461	0.9607045429	174929.2967
206	0.2284899651	285162.0287	0.9607802834	174865.1397
207	0.2284748582	285054.1438	0.9608099536	174851.3224
208	0.228125576	284099.7089	0.9610719511	174218.1888
209	0.2279931286	283432.645	0.961254542	173837.0968
210	0.2279206196	283152.0656	0.9613312148	173712.0531
211	0.2270211544	282682.0435	0.9614594858	173478.4574
212	0.2270062383	282579.1081	0.9614875489	173465.0133
213	0.2268606444	282035.4235	0.9616356029	173134.5124
214	0.2264637914	281342.1994	0.9618239653	172762.7427
215	0.2260033201	280743.1845	0.961986356	172465.7446
216	0.2256481125	280301.8536	0.9621057776	172200.7803
217	0.2256661251	279869.7347	0.9622225245	172024.4875
218	0.2254378251	279560.912	0.9623058498	171885.6594
219	0.2236831806	279002.6907	0.9624562332	171352.5496
220	0.2236704582	278909.063	0.9624814269	171339.927
221	0.2233545953	278601.5668	0.9625641094	171201.6929
222	0.223369829	278023.8649	0.9627192009	170979.3606
223	0.2232384871	277205.4229	0.962938371	170398.2173
224	0.2228784965	276690.8059	0.9630758492	170118.5082
225	0.2228667238	276598.8987	0.9631003749	170109.5978
226	0.2227841931	275969.9791	0.963267986	169883.3309
227	0.2223075418	275511.5167	0.9633899287	169622.7723
228	0.22233347	274956.9234	0.9635371694	169265.7115
229	0.222316801	274862.478	0.9635622145	169251.5339
230	0.2221213621	274350.9359	0.9636977158	168909.9218
231	0.2218542243	273675.7437	0.9638761796	168556.9189
232	0.2214809425	273073.9524	0.9640348718	168290.6548
233	0.2205994103	272717.6567	0.9641286622	168148.1713
234	0.2199668493	272398.2534	0.9642126371	167885.1925
235	0.2198659049	271938.3374	0.9643333816	167575.9163
236	0.2197746445	271434.1105	0.9644655247	167322.8684
237	0.2197007717	271077.5933	0.9645588095	167133.0012
238	0.2196067021	270855.3835	0.9646168899	167040.2229
239	0.2195868586	270744.339	0.9646458965	167021.3062
240	0.219204168	270269.9006	0.9647696933	166663.9218
241	0.2191915681	270191.0945	0.9647902354	166652.3364
242	0.2186259082	269890.0043	0.9648686644	166325.6194
243	0.2183779839	269529.9342	0.9649623419	166140.1484
244	0.2183658434	269454.7545	0.9649818852	166128.8796
245	0.2183774172	269065.6344	0.9650829516	165984.5248
246	0.2183577975	268942.2819	0.9651149596	165969.2505
247	0.2182650201	268418.5565	0.9652506942	165761.9349
248	0.2170709574	267968.4962	0.9653671256	165206.6106
249	0.2169484146	267414.6756	0.9655101318	164848.7
250	0.2166655493	266865.0973	0.9656517501	164542.3049
251	0.2166093609	266505.0408	0.9657443734	164425.0438
252	0.2156203882	265993.1341	0.9658758444	163888.3195
253	0.215368815	265544.4453	0.9659908716	163650.8561
254	0.215351241	265433.7642	0.9660192162	163638.4718
255	0.2149578326	265035.3716	0.966121144	163278.5531
256	0.2148920465	264578.8018	0.9662377679	163153.3398
257	0.2143323298	264170.357	0.9663419287	163032.323
258	0.2132687955	263764.082	0.9664453765	162791.9803
259	0.2132088145	263366.1578	0.9665465436	162485.2502
