iter	Passed	Remaining
411	4110	45770
412	4121	45770
413	4132	45774
414	4142	45771
415	4153	45765
416	4163	45760
417	4175	45766
418	4186	45777
419	4197	45773
420	4207	45761
421	4217	45751
422	4227	45743
423	4240	45761
424	4249	45744
425	4259	45738
426	4269	45724
427	4279	45716
428	4289	45709
429	4300	45701
430	4310	45698
431	4320	45685
432	4331	45684
433	4341	45677
434	4353	45681
435	4365	45692
436	4376	45702
437	4388	45709
438	4400	45717
439	4412	45725
440	4422	45721
441	4433	45720
442	4444	45721
443	4454	45711
444	4465	45710
445	4476	45705
446	4487	45705
447	4498	45703
448	4509	45711
449	4520	45707
450	4531	45705
451	4542	45704
452	4552	45699
453	4562	45689
454	4573	45689
455	4584	45684
456	4594	45674
457	4604	45666
458	4614	45650
459	4623	45630
460	4633	45623
461	4642	45604
462	4651	45583
463	4677	45727
464	4687	45718
465	4697	45700
466	4706	45685
467	4717	45687
468	4728	45679
469	4739	45681
470	4750	45676
471	4760	45666
472	4770	45662
473	4781	45659
474	4792	45651
475	4801	45637
476	4812	45629
477	4823	45631
478	4834	45626
479	4844	45621
480	4856	45624
481	4867	45621
482	4878	45623
483	4888	45611
484	4899	45612
485	4909	45597
486	4919	45586
487	4929	45580
488	4940	45580
489	4952	45580
490	4962	45573
491	4973	45568
492	4983	45558
493	4993	45549
494	5007	45569
495	5018	45575
496	5028	45563
497	5039	45559
498	5049	45550
499	5059	45538
500	5069	45526
501	5080	45519
502	5089	45505
503	5101	45504
504	5110	45491
505	5119	45471
506	5128	45451
507	5138	45440
508	5148	45423
509	5157	45407
510	5167	45394
511	5176	45375
512	5186	45367
513	5199	45376
514	5209	45365
515	5219	45355
516	5230	45350
517	5240	45341
518	5250	45335
519	5261	45331
520	5271	45318
521	5280	45302
522	5291	45292
523	5300	45280
524	5311	45274
525	5323	45278
526	5334	45274
527	5345	45272
528	5356	45275
529	5367	45266
530	5376	45249
531	5386	45238
532	5396	45227
533	5406	45215
534	5417	45209
535	5427	45201
536	5438	45201
537	5450	45203
538	5461	45199
539	5471	45191
540	5482	45189
541	5493	45183
542	5503	45177
543	5514	45171
544	5525	45165
545	5537	45170
546	5548	45168
547	5559	45163
548	5569	45156
549	5580	45147
550	5589	45134
551	5600	45131
552	5611	45128
553	5621	45116
554	5632	45112
555	5643	45110
556	5653	45095
557	5664	45089
558	5674	45077
559	5683	45062
560	5693	45053
561	5703	45040
562	5713	45027
563	5723	45015
564	5733	45003
565	5743	44990
566	5753	44979
567	5762	44965
568	5773	44958
569	5783	44950
570	5794	44947
571	5805	44941
572	5816	44936
573	5825	44920
574	5836	44915
575	5846	44901
576	5856	44891
577	5866	44885
578	5877	44876
579	5887	44870
580	5899	44871
581	5909	44860
582	5919	44851
583	5930	44846
584	5940	44831
585	5951	44828
586	5962	44823
587	5971	44806
588	5982	44801
589	5994	44805
